Article,Object_singular,Translation_singular,Object_plural,Translation_plural,Category
die,Ähnlichkeit,similarity,Ähnlichkeiten,similarities,abstract
die,Alternative,alternative,Alternativen,alternatives,abstract
die,Änderung,"change, alteration",Änderungen,"changes, alterations",abstract
die,Ansicht,"view, opinion",Ansichten,"views, opinions",abstract
die,Aufgabe,task,Aufgaben,tasks,abstract
der,Begriff,"term, concept",Begriffe,"terms, concepts",abstract
das,Beispiel,example,Beispiele,examples,abstract
die,Beschreibung,description,Beschreibungen,descriptions,abstract
die,Bitte,"request, favor",Bitten,"requests, favors",abstract
die,Chance,"chance, opportunity",Chancen,"chances, opportunities",abstract
das,Ding,thing,Dinge,things,abstract
die,Diskussion,discussion,Diskussionen,discussions,abstract
die,Entscheidung,decision,Entscheidungen,decisions,abstract
die,Entschuldigung,"apology, excuse",Entschuldigungen,"apologies, excuses",abstract
die,Entwicklung,development,Entwicklungen,developments,abstract
die,Erfahrung,experience,Erfahrungen,experiences,abstract
der,Erfolg,success,Erfolge,successes,abstract
die,Erklärung,explanation,Erklärungen,explanations,abstract
die,Erlaubnis,permission,Erlaubnisse,permissions,abstract
der,Fehler,"mistake, error",Fehler,"mistakes, errors",abstract
die,Freude,joy,Freuden,joys,abstract
der,Gedanke,thought,Gedanken,thoughts,abstract
die,Gefahr,danger,Gefahren,dangers,abstract
die,Gegenwart,present (time),Gegenwarten,presents,abstract
die,Geschichte,"history, story",Geschichten,"histories, stories",abstract
der,Grund,"reason, ground",Gründe,reasons,abstract
die,Handlung,"action, plot",Handlungen,"actions, plots",abstract
der,Hass,hatred,Hasse,hatreds (rare),abstract
die,Herausforderung,challenge,Herausforderungen,challenges,abstract
die,Hilfe,"help, aid",Hilfen,"helps, aids",abstract
der,Hintergrund,background,Hintergründe,backgrounds,abstract
die,Hoffnung,hope,Hoffnungen,hopes,abstract
die,Idee,idea,Ideen,ideas,abstract
die,Kategorie,category,Kategorien,categories,abstract
der,Kontakt,contact,Kontakte,contacts,abstract
die,Kontrolle,"control, check",Kontrollen,"controls, checks",abstract
die,Lage,situation; location,Lagen,situations; locations,abstract
