verb,translation,present_irregular,separable,reflexive,sxz_ending,nm_ending_regular,nm_ending_irregular,dt_ending,no_en_ending,a_stemchanging,i_stemchanging,ie_stemchanging,stem_changing_t,irregular_other,present_singular_1st_person,present_singular_2nd_person,present_singular_3rd_person,present_plural_1st_person,present_plural_2nd_person,present_plural_3rd_person,present_formal
abarbeiten,"to work through (a list, a backlog)",TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,arbeite ab,arbeitest ab,arbeitet ab,arbeiten ab,arbeitet ab,arbeiten ab,arbeiten ab
abbauen,to dismantle/to take down,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,baue ab,baust ab,baut ab,bauen ab,baut ab,bauen ab,bauen ab
abbeißen,to bite off (a piece),TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,beiße ab,beißt ab,beißt ab,beißen ab,beißt ab,beißen ab,beißen ab
abbiegen,"to turn (while walking, driving)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,biege ab,biegst ab,biegt ab,biegen ab,biegt ab,biegen ab,biegen ab
abbinden,to tie off (medically)/to thicken a sauce (cooking),TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,binde ab,bindest ab,bindet ab,binden ab,bindet ab,binden ab,binden ab
abbrennen,to burn down/to set off fireworks,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,brenne ab,brennst ab,brennt ab,brennen ab,brennt ab,brennen ab,brennen ab
abreißen,to tear off/to tear down,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,reiße ab,reißt ab,reißt ab,reißen ab,reißt ab,reißen ab,reißen ab
abbrechen,to break off,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,breche ab,brichst ab,bricht ab,brechen ab,brecht ab,brechen ab,brechen ab
abbürsten,to brush something off/to brush something clean,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,bürste ab,bürstest ab,bürstet ab,bürsten ab,bürstet ab,bürsten ab,bürsten ab
abdämpfen,"to damp down (sound, intensity)",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,dämpfe ab,dämpfst ab,dämpft ab,dämpfen ab,dämpft ab,dämpfen ab,dämpfen ab
abdecken,to uncover,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,decke ab,deckst ab,deckt ab,decken ab,deckt ab,decken ab,decken ab
